"","new_field","Estimate","SE","t value","P","lower_bound","upper_bound"
"1","soil_IDF01",-6.52979962401846,5.58392191405035,-1.16939307614386,0.243942082071171,-17.5554465122047,4.49584726416779
"2","soil_IDF04",-3.19131862635764,6.44775764042165,-0.494950152336828,0.621297757085969,-15.9226390241258,9.54000177141054
"3","soil_IDF05",-15.5103167784113,5.58392191405035,-2.7776743688668,0.00611322468581345,-26.5359636665976,-4.48466989022509
"4","soil_IDF09",-2.55105117162866,5.58392191405035,-0.456856526809529,0.648378708280857,-13.5766980598149,8.47459571655758
"5","soil_IDF10",7.87479313156223,5.9694636219644,1.319179348474,0.188948031455188,-3.91211918933582,19.6617054524603
"6","soil_IDF11",-13.2965858493291,5.58392191405035,-2.38122703970341,0.0184016717261871,-24.3222327375154,-2.27093896114287
"7","soil_IDF16",-3.75537711125225,5.58392191405035,-0.67253395893716,0.502190287835573,-14.7810239994385,7.270269776934
"8","soil_IDF19",-1.12750268818165,5.58392191405035,-0.2019194941363,0.840229911216201,-12.1531495763679,9.8981442000046
"9","soil_IDF21",17.7034014661847,5.58392191405035,3.17042425354107,0.00181675199312744,6.67775457799845,28.7290483543709
"10","soil_IDF22",-13.505405195923,5.58392191405035,-2.41862357744303,0.0166738474403059,-24.5310520841093,-2.47975830773677
"11","soil_IDF23",-9.6377144460466,5.58392191405035,-1.72597586327202,0.0862351212957599,-20.6633613342328,1.38793244213965
"12","soil_IDF29",-18.5461558757172,5.58392191405035,-3.32134943166936,0.00110436301171247,-29.5718027639035,-7.52050898753098
"13","soil_IDF31",-4.9604007932095,5.9694636219644,-0.830962563362963,0.407202916361684,-16.7473131141075,6.82651152768855
"14","soil_IDF33",8.57880243910086,5.58392191405035,1.53633997236149,0.126382059024642,-2.44684444908539,19.6044493272871
"15","soil_IDF34",-7.63825604730145,5.58392191405035,-1.36790165852462,0.17321426881521,-18.6639029354877,3.3873908408848
"16","soil_IDF36",-5.65763375419827,5.58392191405035,-1.01320072903642,0.31245676908017,-16.6832806423845,5.36801313398797
"17","soil_IDF37",-20.4685642586795,5.9694636219644,-3.42887829709963,0.000766552677086423,-32.2554765795775,-8.6816519377814
"18","soil_IDF48",-20.0111652864053,5.9694636219644,-3.35225516958928,0.000995224854268853,-31.7980776073034,-8.22425296550727
"19","soil_IDF52",-7.6721131358391,5.58392191405035,-1.37396497550125,0.171327510852897,-18.6977600240253,3.35353375234714
"20","soil_IDF53",-23.8569474843631,6.44775764042165,-3.70003787592782,0.000293874069292746,-36.5882678821313,-11.1256270865949
"21","soil_IDF57",-17.2969191484245,5.58392191405035,-3.09762912423644,0.00229549078183405,-28.3225660366107,-6.27127226023822
"22","soil_IDF61",-40.5274997477087,5.58392191405035,-7.2578915628696,1.4917623054626e-11,-51.553146635895,-29.5018528595225
"23","soil_IDF62",-4.62918444197821,5.58392191405035,-0.829020268053925,0.408297897682682,-15.6548313301645,6.39646244620803
"24","soil_IDF63",-10.665141680686,5.58392191405035,-1.9099732848789,0.0578820635821257,-21.6907885688723,0.360505207500234
"25","soil_IDF64",0.570255065237184,7.06316460997044,0.0807364824022657,0.935749964013091,-13.3762076721294,14.5167178026037
