"","BRI","Humus","Clay","Silt","Sand","pH","P_H2O","K_H2O","Mg_H2O","Ca_H2O","Nitrate","P_AAE","K_AAE","Mg_AAE","Ca_AAE","Cu","Fe","Mn","B","WHC","Corg","SOM","Nmin","CEC"
"F01",-6.52979962401846,3,11,21,67,7.6,5.49,17.89,11.44,131.6,11.54,138.95,159.25,231.7,4771,7.29,275.6,564.9,0.64,219.04,0.5252,0.9054448,12.2005,18.1319635244959
"F04",-3.19131862635764,3,16,31,51.5,7.6,4.44,25.3,13.1,157,14.01,97.09,191.69,448.9,11650,12.28,310.5,381.6,1.4,224.05,0.8264,1.4247136,16.3333333333333,21.968340138118
"F05",-15.5103167784113,5,6,11,82.1,7.4,10.65,79.72,6.67,120.8,17.3,161.38,307.95,126.4,8883,5.3,410.4,225.9,0.91,251.32,2.2231,3.8326244,22.352,25.4567849930788
"F09",-2.55105117162866,3,11,31,56.7,7.11,2.94,26.62,9.87,65.56,13.67,54.14,140.36,112.4,2028,11.61,485,494.7,0.65,231.81,0.2951,0.5087524,13.8925,13.2868506323514
"F10",7.87479313156223,4,16,31,51,7.6,3.67,28.83,7.4,221.8,21.01,31.69,206.09,239.5,30970,11.58,292.9,268.6,0.84,244.09,2.0574,3.5469576,23.8333333333333,22.2719010748418
"F11",-13.2965858493291,4,16,31,51,7.3,4.78,17.31,10.21,134.8,16.96,91.53,182.78,167.2,4827,13.19,393.3,385.8,1.31,238.72,1.3983,2.4106692,14.474,21.8544305160065
"F16",-3.75537711125225,5,16,31,50.5,7.3,18.81,100.5,11.01,163.2,25.78,246.99,462.8,359.1,34600,29.22,457.8,210,1.21,251.613333333333,2.6704,4.6037696,28.9233672137262,30.5753834039174
"F19",-1.12750268818165,3.5,11,21,66.8,7,9.55,20.56,9.75,123.9,7.68,142.46,138.68,134.8,4112,8.1,396.1,408.1,0.9,244.4,1.9003,3.2761172,16.0666666666667,20.1339723955149
"F21",17.7034014661847,2.5,16,21,62.1,7.7,4.77,12.16,9.16,193.8,25.39,93.9,115.52,253.7,15010,7.21,275.9,224.4,1,255.19,1.0272,1.7708928,22.295751771727,20.3110685894238
"F22",-13.505405195923,4,11,21,66.7,7.5,4.79,11.06,14.33,201.7,23.5,67.08,122.06,306.4,11390,5.21,224.5,380.8,1.75,230.73,2.2946,3.9558904,22.5,27.6596359622169
"F23",-9.6377144460466,2.5,16,21,62.1,7.6,7.23,55.96,12.53,185.5,7,47.49,186.5,511.2,60170,5.39,325.7,228.5,0.78,205.133333333333,1.3974,2.4091176,14.272,18.8488415399159
"F29",-18.5461558757172,4,21,31,45.8,7.2,6.42,25.78,17.62,220.2,24.18,130.51,288.18,338.1,9772,9.58,502.3,168,1.24,229.87,3.4463,5.9414212,15.1385,36.7570453679692
"F31",-4.9604007932095,3,16,21,61.9,7.5,2.9,18.83,11.5,182.8,13.85,52.31,165.81,236.9,8020,4.25,161.2,411,0.71,192.71,0.7942,1.3692008,22.43,18.3575711330296
"F33",8.57880243910086,4,16,21,61.5,7.1,2.78,11.05,10.96,100.5,17.19,25.49,104.21,178.5,2933,6.75,188.7,410.9,0.67,246.72,1.376,2.372224,18.9666666666667,18.9496622094804
"F34",-7.63825604730145,4.5,16,31,50.8,7.6,2.19,7.44,7.5,189.5,11.52,59.69,93.5,102.5,7521,10.84,261.5,535.2,0.98,231.826666666667,1.4211,2.4499764,17.4365,19.1552608469119
"F36",-5.65763375419827,2.5,21,21,56.9,7.4,1.72,3.48,13.14,237.9,21.61,12.49,184.98,328.4,14780,5.37,256.6,344.4,1.31,224.066666666667,1.8912,3.2604288,21.9666666666667,30.1580238698418
"F37",-20.4685642586795,4,16,31,51,7.3,9.42,62.75,10.78,170.4,28.49,199.24,305.59,195.2,11000,7.7,376.8,332.2,1.11,242.03,2.0915,3.605746,27.3333333333333,22.2154398714043
"F48",-20.0111652864053,3.5,11,21,66.8,7.3,2.4,9.31,7.56,104.4,8.63,110.86,196.08,257.1,23750,6.38,138.3,205.7,0.26,231.29,0.8752,1.5088448,6.9,11.34
"F52",-7.6721131358391,4,16,21,61.5,7.4,11.84,53.72,9.2,105.1,11.51,31.05,66.03,90.82,2960,16.36,327.5,414.9,1.16,218.75,1.2484,2.1522416,16.108,17.5257175406376
"F53",-23.8569474843631,3,11,31,56.7,7.5,14.17,59.34,14.8,158,11.43,210.62,322.21,150.7,5322,5.87,322.7,313,1.5,202.35,0.8725,1.50419,10.6333333333333,16.29
"F57",-17.2969191484245,4.5,11,21,66.5,6.8,7.03,19.84,8.19,158.4,41.2,127.31,242.89,391.5,20860,7.43,421.6,409.3,0.48,244.37,2.8146,4.8523704,36.2,18.88
"F61",-40.5274997477087,6,6,31,60.6,7.3,27.08,55.02,10.32,127.5,14.66,103.38,115.6,93.23,3996,28.68,527.7,210.8,1.02,188.17,3.0239,5.2132036,17.464,23.1020291200113
"F62",-4.62918444197821,3.5,16,31,51.3,7.4,10.2,24.81,9.88,183.3,19.97,579.05,316.13,189.5,11910,6.74,207.5,195.7,0.78,242.533333333333,1.1709,2.0186316,20.4,18.78
"F63",-10.665141680686,3.5,21,31,46.1,7.1,3.55,14.52,15.17,147.8,39.38,66.19,192.64,218.3,3862,5.76,224.6,521.2,1.25,233.013333333333,1.7225,2.96959,38.3899367773219,20.94
"F64",0.570255065237184,4,16,31,51,7.2,4.45,8.96,20.89,163.7,18.68,28.42,95.79,339.8,5989,10.14,186.3,460.2,1.5,271.85,2.3271,4.0119204,26.7666666666667,25.681295434178
